RBP	Gene Symbol	Chromesome	Strand	Exon Start	Exon End	Upstream Exon Start	Upstream Exon End	Downstream Exon Start	Downstream Exon End	ΔPSI	Upstream Motif Presence	Exon Motif Presence	Downstream Motif Presence	Upstream CLIP-seq Peak Presence	Exon CLIP-seq Peak Presence	Downstream CLIP-seq Peak Presence
HNRNPM	USP33	chr1	-	78212083	78212241	78211105	78211284	78225327	78225374	0.966	×	×	×	×	√	×
HNRNPM	AC003002.6	chr19	+	57904168	57904316	57901251	57901482	57905555	57905591	0.94	×	×	×	×	×	×
PTBP1	SMAP1	chr6	+	71501391	71501472	71483052	71483128	71508359	71508440	0.903	√	×	×	×	×	×
HNRNPM	USP33	chr1	-	78212083	78212241	78211105	78211284	78225327	78225374	0.895	×	×	×	×	√	×
HNRNPC	TRPC1	chr3	+	142462326	142462428	142455220	142455375	142467099	142467302	0.871	√	√	×	×	×	×
PTBP1	KIF21A	chr12	-	39709733	39709772	39705218	39705355	39711874	39712003	0.868	√	√	√	×	×	×
HNRNPK	HMBOX1	chr8	+	28903708	28903933	28902877	28902960	28904874	28904970	0.855	×	×	×	×	×	×
XRN2	MRC2	chr17	+	60766971	60767121	60766217	60766321	60767254	60767423	0.833	×	×	√	×	×	×
CPSF6	PTPRC	chr1	+	198671515	198671659	198661475	198661502	198672426	198672501	0.827	×	×	√	×	×	×
CPSF6	PBXIP1	chr1	-	154926146	154926233	154924270	154924397	154928544	154928580	0.826	×	×	√	×	×	×
GPKOW	PBXIP1	chr1	-	154926146	154926233	154924270	154924397	154928544	154928580	0.826	×	×	×	×	×	×
HNRNPC	SIN3A	chr15	-	75728686	75728784	75722527	75722749	75748128	75748181	0.823	√	×	√	√	√	×
PTBP1	KANSL3	chr2	-	97272706	97272784	97271170	97271274	97274244	97274401	0.82	×	×	√	√	×	√
HNRNPK	WNK1	chr12	+	977031	978270	971248	971436	980430	980514	0.819	×	√	√	×	√	×
HNRNPC	TMEM230	chr20	-	5092145	5092251	5089977	5090091	5093388	5093688	0.815	×	×	×	×	√	×
U2AF2	EPB41L2	chr6	-	131191467	131191521	131190798	131191266	131206235	131206408	0.813	×	×	√	√	√	√
PTBP1	NAV2	chr11	+	20071381	20071447	20070273	20070741	20072834	20072879	0.81	√	√	√	×	√	×
PTBP1	SYNGAP1	chr6	+	33410229	33410271	33409357	33409536	33410665	33411737	0.808	√	×	×	×	×	×
SFPQ	OSBPL8	chr12	-	76853638	76853675	76844680	76844759	76881289	76881398	0.804	√	×	×	×	×	×
PTBP1	GABBR1	chr6	-	29577005	29577156	29576377	29576510	29578700	29578778	0.8	×	×	√	×	×	×
U2AF2	RALGPS2	chr1	+	178861364	178861442	178858776	178858831	178863053	178863159	0.8	√	×	√	×	√	√
PTBP1	CDC42BPA	chr1	-	227198578	227198764	227192694	227192812	227203780	227203898	0.796	×	√	√	×	√	√
HNRNPC	SIN3A	chr15	-	75728686	75728784	75722527	75722749	75743763	75744087	0.788	√	×	√	√	√	×
QKI	ADD3	chr10	+	111892062	111892257	111890120	111890244	111893083	111893106	0.784	√	×	×	√	×	×
PTBP1	PROM1	chr4	-	16037357	16037384	16034926	16035132	16040568	16040624	0.78	√	×	√	×	×	×
PTBP1	SLC37A4	chr11	-	118896401	118896467	118895900	118896039	118896676	118896790	0.778	×	×	√	×	×	×
PTBP1	SMAP1	chr6	+	71501391	71501472	71483052	71483128	71508359	71508440	0.776	√	×	×	×	√	×
QKI	FAM208B	chr10	+	5762222	5762360	5759621	5759713	5762506	5762631	0.771	×	√	×	√	√	√
U2AF1	FN1	chr2	-	216251482	216251603	216249582	216249699	216252934	216253024	0.766	×	×	×	√	√	×
FXR1	MTERFD2	chr2	-	242036657	242036842	242029394	242029459	242041667	242041746	0.764	×	×	×	×	×	×
HNRNPC	LRR1	chr14	+	50070269	50070336	50069087	50069186	50074117	50074839	0.76	√	×	×	×	×	×
PTBP1	PTBP2	chr1	+	97271974	97272008	97270340	97270495	97272421	97272514	0.759	√	×	×	√	×	×
U2AF2	RPS25	chr11	-	118888667	118888795	118886550	118886649	118888991	118889400	0.759	×	×	√	×	√	√
HNRNPK	SEC31B	chr10	-	102258461	102258561	102257797	102257964	102258916	102259015	0.754	√	√	×	×	×	×
TIA1	NLRP1	chr17	-	5403350	5403432	5402758	5403270	5405056	5405192	0.751	×	×	×	√	×	×
U2AF2	EPB41L2	chr6	-	131201593	131201629	131190702	131191266	131206235	131206408	0.744	×	×	×	√	×	√
NCBP2	GPR126	chr6	+	142704896	142704980	142703087	142703156	142711394	142711480	0.742	×	×	×	×	×	×
HNRNPK	ACOT8	chr20	-	44482561	44482623	44477088	44477314	44483797	44483931	0.74	×	×	√	×	×	×
HNRNPC	EVI5	chr1	-	93128275	93128422	93101758	93101893	93128976	93129009	0.737	√	×	×	×	×	√
TROVE2	XPO1	chr2	-	61752404	61752468	61749745	61749818	61752626	61753656	0.735	×	×	×	×	×	×
PTBP1	CERS5	chr12	-	50526744	50526847	50523574	50524477	50528328	50528485	0.734	√	√	√	×	√	×
HNRNPC	BOD1L1	chr4	-	13625013	13627936	13621566	13621691	13628968	13629325	0.73	√	√	√	×	×	×
QKI	NAV2	chr11	+	20071381	20071447	20070273	20070741	20072834	20072879	0.728	×	×	×	×	√	×
HNRNPK	SORBS1	chr10	-	97174586	97174619	97170389	97170534	97181717	97181830	0.726	×	√	√	×	×	×
SUPV3L1	KHK	chr2	+	27317667	27317802	27315199	27315316	27319596	27319669	0.724	×	×	√	×	×	×
PTBP1	SORBS2	chr4	-	186560030	186560189	186551702	186551752	186567821	186567936	0.723	√	√	√	×	×	√
NCBP2	ADD3	chr10	+	111892062	111892158	111890120	111890244	111893083	111893969	0.718	×	×	×	×	×	×
PUS1	KRR1	chr12	-	75898977	75899034	75895702	75895780	75900263	75900389	0.717	×	×	×	×	×	×
HNRNPK	HM13	chr20	+	30155880	30156083	30149436	30149539	30156922	30157370	0.716	×	√	×	×	√	×
TBRG4	ATXN2L	chr16	+	28847731	28847806	28847253	28847443	28848068	28848553	0.715	×	×	×	×	×	×
PTBP1	ZNF655	chr7	+	99161485	99161556	99158155	99158318	99169310	99169340	0.711	√	×	√	√	×	×
U2AF2	IVNS1ABP	chr1	-	185275616	185275757	185274667	185274775	185276145	185276271	0.709	√	×	×	√	×	√
HNRNPC	TCEB1	chr8	-	74876721	74876860	74871999	74872053	74884311	74884487	0.708	√	×	×	×	×	×
PTBP1	RTN4	chr2	-	55252221	55254621	55214626	55214834	55255299	55255356	0.706	√	√	√	×	×	×
QKI	ADD3	chr10	+	111892062	111892158	111890120	111890244	111893083	111893969	0.705	√	×	×	√	×	×
QKI	GPR126	chr6	+	142704896	142704980	142703087	142703156	142711394	142711480	0.704	×	√	√	√	√	√
QKI	PIEZO2	chr18	-	10708272	10708437	10705333	10705744	10714761	10714928	0.704	×	×	√	×	√	√
SUPV3L1	COBL	chr7	-	51150754	51150925	51111079	51111389	51152862	51153001	0.704	×	×	×	×	×	×
U2AF1	TSC2	chr16	+	2127598	2127727	2126491	2126586	2129032	2129197	0.703	×	×	×	√	×	√
U2AF2	EPB41L2	chr6	-	131197813	131197915	131190798	131191266	131199243	131199390	0.702	×	×	√	√	√	√
HNRNPK	ZNF655	chr7	+	99161485	99161556	99158155	99158318	99169310	99169340	0.7	×	×	√	×	×	√
SFPQ	ZNF708	chr19	-	21493302	21493429	21492047	21492143	21512011	21512212	0.697	×	×	×	×	×	×
SFPQ	CPSF1	chr8	-	145630562	145630688	145628261	145628385	145634398	145634556	0.69	×	×	×	×	×	×
PTBP1	CDC42BPA	chr1	-	227198604	227198764	227192694	227192812	227203780	227203898	0.688	×	√	√	×	√	√
PTBP1	ITGB3BP	chr1	-	63913235	63913285	63912476	63912527	63919588	63919645	0.682	×	×	√	×	×	×
U2AF2	EPB41L2	chr6	-	131191467	131191521	131190798	131191266	131199243	131199390	0.682	×	×	√	√	√	√
PTBP1	COL4A3BP	chr5	-	74695134	74695212	74685416	74685512	74696029	74696122	0.681	√	×	×	×	×	×
PTBP1	KIF21A	chr12	-	39709733	39709772	39705218	39705355	39713707	39713815	0.679	√	√	√	×	×	×
HNRNPK	PMM2	chr16	+	8896117	8896246	8895655	8895767	8900172	8900264	0.677	√	√	×	×	√	×
QKI	6-Sep	chrX	-	118759297	118759342	118752675	118752749	118763280	118763471	0.677	×	×	×	√	√	×
PTBP1	ZFP62	chr5	-	180278987	180279196	180278380	180278493	180288218	180288276	0.676	×	×	√	×	×	×
NCBP2	ARPP19	chr15	-	52856386	52856443	52849296	52849419	52861312	52861364	0.675	×	×	×	×	×	×
PTBP1	MYO19	chr17	-	34857691	34857801	34856908	34857075	34858936	34859040	0.675	√	×	×	√	×	×
SFPQ	TCTN1	chr12	+	111082771	111082934	111078250	111078322	111085015	111085141	0.674	×	×	×	×	×	×
PTBP1	ZFP62	chr5	-	180278987	180279060	180278160	180278493	180288218	180288285	0.673	×	×	√	×	×	×
U2AF2	DGKD	chr2	+	234372465	234372557	234371288	234371381	234372809	234372929	0.67	√	×	×	×	√	√
PTBP1	ARRB1	chr11	-	74982744	74982768	74979932	74980003	74983938	74984022	0.669	√	×	×	×	×	×
HNRNPK	SMARCD1	chr12	+	50493582	50493683	50493269	50493348	50493836	50494101	0.668	×	√	√	√	×	√
SRSF1	CALM2	chr2	-	47399552	47399598	47397872	47397903	47403415	47403609	0.668	×	×	×	×	√	√
EIF3D	PLD3	chr19	+	40871459	40871492	40854610	40854675	40871624	40871837	0.667	×	×	×	×	×	√
EIF4G2	PLD1	chr3	-	171507435	171507491	171506370	171507325	171528188	171528504	0.666	×	×	×	×	×	×
HNRNPK	ZNF655	chr7	+	99161485	99161556	99158155	99158318	99169867	99174076	0.666	×	×	√	×	√	×
HNRNPM	AC003002.6	chr19	+	57902089	57902308	57901251	57901482	57905555	57905591	0.666	×	×	×	×	√	×
PTBP1	CTNND1	chr11	+	57558965	57559145	57529268	57529518	57561481	57561553	0.661	√	×	×	√	×	×
PUS1	ZC3H4	chr19	-	47614151	47614213	47597645	47597865	47615404	47615504	0.661	×	×	×	×	×	×
EIF4G2	PLD1	chr3	-	171507435	171507487	171506370	171507325	171528188	171528252	0.66	×	×	×	×	×	×
SFPQ	ITPR1	chr3	+	4695525	4695570	4693806	4693902	4699807	4699962	0.659	×	×	×	×	×	×
TIA1	KDM3A	chr2	+	86668394	86668567	86667923	86668085	86669140	86669356	0.659	×	×	×	×	×	√
HNRNPC	NSUN2	chr5	-	6621715	6621857	6620228	6620411	6623326	6623398	0.658	√	×	√	×	×	×
SAFB2	ZNF655	chr7	+	99159990	99160117	99158155	99158318	99168882	99169194	0.658	×	×	×	×	×	×
SUPV3L1	SLC25A29	chr14	-	100761962	100762034	100759630	100759714	100765178	100765222	0.658	×	×	×	×	×	×
EIF4G2	NMNAT3	chr3	-	139356804	139356904	139346457	139346606	139396546	139396807	0.657	×	×	×	×	×	×
HNRNPM	PRKAB2	chr1	-	146632375	146632412	146630797	146631221	146633290	146633382	0.655	×	×	×	×	×	√
PTBP1	SCAMP5	chr15	+	75308933	75309090	75305017	75305146	75310210	75310266	0.654	√	√	√	×	×	√
SFPQ	SLC28A1	chr15	+	85429902	85430018	85427892	85427982	85430975	85431087	0.654	×	×	×	×	×	×
PUS1	PSMD5-AS1	chr9	+	123608959	123609081	123607270	123607474	123609571	123609631	0.653	√	×	×	×	×	×
TARDBP	LRP8	chr1	-	53740314	53740492	53736898	53737018	53741302	53741425	0.653	×	√	×	×	√	×
PUS1	SNAPC4	chr9	-	139286696	139286868	139286393	139286558	139286973	139287046	0.652	×	×	×	×	×	×
QKI	LPHN2	chr1	+	82452584	82452713	82450942	82451039	82456074	82458106	0.652	×	√	×	√	√	√
SFPQ	NMRAL1	chr16	-	4513678	4513851	4511699	4511960	4516153	4516175	0.651	×	×	×	×	×	×
U2AF2	HNRNPD	chr4	-	83276047	83276154	83274986	83275307	83276456	83276554	0.651	×	×	×	√	√	√
U2AF2	ACOX1	chr17	-	73956295	73956456	73953539	73953647	73969705	73969866	0.65	×	×	×	√	√	√
HNRNPK	BTBD2	chr19	-	2013545	2013879	1997342	1997462	2015295	2015543	0.649	√	×	√	√	√	√
U2AF2	PUM2	chr2	-	20478343	20478441	20462953	20463221	20482707	20482992	0.648	√	×	×	√	√	√
SFPQ	NMRAL1	chr16	-	4513642	4513851	4511694	4511960	4516153	4516337	0.647	×	×	×	×	×	×
U2AF1	EPB41L2	chr6	-	131191467	131191521	131191178	131191266	131199243	131199390	0.647	×	×	√	×	√	√
HNRNPC	TIAL1	chr10	-	121339982	121340358	121339446	121339522	121341433	121341521	0.646	×	×	×	√	×	×
TARDBP	LRP8	chr1	-	53740371	53740492	53736898	53737018	53741302	53741425	0.645	×	√	×	×	×	√
HNRNPC	GK5	chr3	-	141903552	141904635	141901764	141901891	141904770	141904831	0.644	√	√	×	×	√	×
FXR1	MCM3AP-AS1	chr21	+	47656137	47656240	47649147	47649180	47660747	47662913	0.641	×	×	×	×	×	×
HNRNPK	MED24	chr17	-	38191168	38191225	38189597	38189709	38191369	38191602	0.64	√	×	×	√	×	×
NONO	AFMID	chr17	+	76201683	76201819	76201520	76201599	76202026	76202131	0.639	×	×	×	√	×	×
U2AF2	PIKFYVE	chr2	+	209169569	209169737	209168894	209169042	209176959	209177019	0.639	√	√	√	√	√	√
NCBP2	PUSL1	chr1	+	1244294	1244352	1243946	1244100	1244465	1244653	0.633	√	×	×	×	×	×
SFPQ	PEG3	chr19	-	57341150	57341289	57335629	57336109	57344657	57344808	0.633	×	×	×	×	×	×
HNRNPK	INO80E	chr16	+	30012785	30012851	30012314	30012361	30016541	30016898	0.631	√	√	√	√	×	√
SUPV3L1	PPIP5K2	chr5	+	102523014	102523077	102522020	102522140	102526542	102526683	0.63	×	×	×	×	×	×
EIF4G2	ZNF26	chr12	+	133564250	133564354	133562950	133563459	133583627	133583754	0.629	×	×	×	×	×	×
HNRNPC	SUGT1	chr13	+	53235609	53235705	53233313	53233384	53236783	53236837	0.628	√	×	√	√	√	×
FXR1	SUGP2	chr19	-	19104446	19104580	19101696	19101958	19105174	19105295	0.627	×	×	×	×	×	×
CDC40	LINC01021	chr5	+	27477745	27477908	27475641	27475802	27494341	27494442	0.625	×	×	×	√	√	×
PTBP1	KSR1	chr17	+	25928255	25928427	25924293	25924462	25930859	25930914	0.625	×	√	√	×	×	×
PTBP1	RTN4	chr2	-	55254594	55254621	55214626	55214834	55255299	55255356	0.624	√	×	√	×	×	×
TBRG4	MPND	chr19	+	4357947	4358169	4357511	4357582	4359159	4359220	0.624	×	×	×	×	×	×
RBFOX2	LINC00963	chr9	+	132255694	132255874	132250823	132251578	132265601	132266553	0.621	×	×	×	×	×	√
HNRNPC	SCAMP5	chr15	+	75299928	75300069	75287896	75288014	75304132	75304187	0.619	√	×	√	×	√	×
U2AF2	GANAB	chr11	-	62401781	62401938	62400913	62400986	62402292	62402472	0.616	√	×	×	√	√	√
HNRNPM	AC003002.6	chr19	+	57902089	57902213	57901251	57901482	57905555	57905591	0.615	×	×	×	×	×	√
QKI	ESYT2	chr7	-	158545471	158545534	158542339	158542414	158552176	158552272	0.615	×	×	×	√	√	×
HNRNPK	HOMEZ	chr14	-	23754500	23754820	23741665	23746396	23755121	23755326	0.614	×	×	√	×	√	×
PTBP1	CTNND1	chr11	+	57556508	57556627	57529268	57529518	57563048	57563201	0.614	√	×	√	×	×	×
U2AF2	GANAB	chr11	-	62401781	62401847	62400916	62400986	62402292	62402472	0.614	√	×	×	√	×	√
QKI	DEPDC1	chr1	-	68947728	68948580	68947122	68947295	68949632	68949773	0.613	√	×	√	√	×	√
FXR1	SUGP2	chr19	-	19104446	19104608	19101696	19101958	19105174	19105295	0.61	×	×	×	×	×	×
HNRNPK	HEXDC	chr17	+	80398348	80398489	80397506	80397589	80398872	80398951	0.61	×	√	×	×	√	×
PUS1	ZNF616	chr19	-	52642707	52642879	52633753	52633841	52642984	52642999	0.61	×	×	√	×	×	×
FXR1	SUGP2	chr19	-	19104456	19104549	19101698	19101958	19105174	19106089	0.609	×	×	×	×	×	×
FXR1	SUGP2	chr19	-	19104456	19104580	19101698	19101958	19105174	19105295	0.608	×	×	×	×	×	×
PTBP1	CTNND1	chr11	+	57558856	57559145	57529289	57529518	57561481	57561553	0.608	√	√	×	×	√	×
FXR1	SUGP2	chr19	-	19104446	19104549	19101696	19101958	19105174	19105295	0.607	×	×	×	×	×	×
ILF3	RBCK1	chr20	+	401514	401650	400201	400375	402770	402882	0.606	√	×	√	√	√	√
PUS1	C17orf62	chr17	-	80407306	80407356	80407045	80407168	80408575	80408651	0.606	×	×	×	×	×	×
DDX55	RABGAP1L	chr1	+	174927027	174927310	174926593	174926686	174938413	174938524	0.605	√	×	×	×	×	×
LARP4	ZNF827	chr4	-	146684241	146684274	146681880	146682750	146686139	146686317	0.604	×	×	×	×	×	×
PTBP1	GABRE	chrX	-	151129754	151129837	151128310	151128448	151130894	151131115	0.604	√	√	√	×	×	√
FXR1	SUGP2	chr19	-	19104456	19104608	19101698	19101958	19105174	19105295	0.603	×	×	×	×	×	×
HNRNPC	MVD	chr16	-	88726927	88727045	88725057	88725128	88729418	88729487	0.603	√	×	√	√	√	×
HNRNPK	PLK1S1	chr20	+	21225257	21225402	21224882	21224926	21227116	21227260	0.603	×	×	×	×	√	√
NCBP2	LPHN2	chr1	+	82452584	82452713	82450942	82451039	82456074	82458106	0.603	×	×	×	×	×	×
PTBP1	CTNND1	chr11	+	57558856	57559145	57529268	57529591	57561481	57561553	0.603	√	√	×	×	√	×
U2AF1	ERVK3-1	chr19	+	58823386	58823480	58817453	58817582	58823562	58823769	0.603	×	×	×	√	√	√
U2AF2	GANAB	chr11	-	62401602	62401847	62400916	62400986	62402292	62402472	0.603	√	√	×	√	√	√
EIF3D	PEG3	chr19	-	57345010	57345131	57335629	57336109	57347385	57347472	0.602	×	×	×	×	√	√
SFPQ	RP13-672B3.2	chr12	+	133272469	133272632	133266848	133266962	133277835	133277955	0.602	×	×	×	×	×	×
HNRNPC	2-Sep	chr2	+	242263823	242264077	242263630	242263656	242265407	242265528	0.601	√	√	√	×	√	×
HNRNPM	GMPR2	chr14	+	24703312	24703447	24702684	24702804	24704942	24705026	0.601	×	×	√	×	×	√
HNRNPC	SCAMP5	chr15	+	75300001	75300069	75287913	75288014	75304132	75304187	0.6	√	×	√	√	×	×
U2AF2	IVNS1ABP	chr1	-	185275616	185275757	185274667	185274775	185276145	185276271	0.6	√	×	×	√	×	√
GPKOW	TMUB2	chr17	+	42265043	42265111	42264337	42264477	42265274	42265377	0.599	×	×	×	×	×	×
SFPQ	RAPGEF2	chr4	+	160164925	160164943	160162352	160162520	160225493	160225625	0.599	×	×	×	×	×	×
DDX6	ENGASE	chr17	+	77078810	77078959	77078110	77078145	77079101	77079205	0.598	×	×	×	×	×	×
HNRNPM	SETD5	chr3	+	9510202	9510259	9506108	9506356	9512142	9512613	0.598	×	×	×	×	×	√
PUS1	HNRNPA1L2	chr13	+	53203353	53203494	53201572	53201713	53206556	53206629	0.598	×	×	×	×	×	×
DDX59	ASNS	chr7	-	97501030	97501308	97499089	97499125	97501662	97501854	0.597	×	√	×	×	√	×
SFPQ	KIFC3	chr16	-	57822486	57822625	57806134	57806200	57828910	57829053	0.597	×	×	×	×	×	×
SRSF1	ERVK3-1	chr19	+	58823562	58823769	58817453	58817582	58826113	58826147	0.596	×	×	√	√	√	×
SFPQ	TVP23C	chr17	-	15406411	15406546	15343524	15343599	15443746	15443875	0.595	×	×	×	×	×	×
PTBP1	CERS5	chr12	-	50526744	50527851	50523580	50524477	50528328	50528485	0.594	×	√	√	×	√	×
DDX55	2-Sep	chr2	+	242256913	242257014	242255360	242255397	242265407	242265528	0.593	×	√	×	×	√	×
PUS1	TROVE2	chr1	+	193029003	193029352	193028788	193028906	193044949	193045170	0.593	×	√	×	×	×	×
IGF2BP2	TROVE2	chr1	+	193029003	193029352	193028788	193028906	193044949	193045170	0.59	×	×	×	√	×	×
DDX6	PITPNM2	chr12	-	123474333	123474495	123473270	123473419	123475091	123475256	0.589	×	×	×	×	×	×
PTBP1	MYO19	chr17	-	34857691	34857741	34856908	34857075	34858936	34859040	0.589	√	×	×	√	×	×
PUS1	ANKRD28	chr3	-	15837902	15837998	15836729	15836813	15855746	15855816	0.589	×	×	×	×	×	×
SFPQ	FAM208B	chr10	+	5751492	5751626	5726904	5727138	5754785	5754881	0.589	×	×	×	×	×	×
